,Irradiance,Real_Power_PV,Reactive_Power_Total,Real_Power_Total,Reactive_Power_PV,Apparent_PF,Load_PF,IrradianceProxy
2015-10-20 19:20:00,0.0,-8642.707584805557,270333.36424431135,3536741.7905671163,19973.979302304208,0.9961816843483272,0.9956757296305884,-0.11960000000025475
2015-10-20 19:21:00,0.0,-8493.982708739844,282208.5390218098,3443800.099585238,20036.901159202556,0.997530304461684,0.9971060427903745,-0.12300000000025475
2015-10-20 19:22:00,0.0,-8468.036981599573,286202.1276263869,3492199.741448139,20029.38515244893,0.9969341320177112,0.9964709686478977,-0.12300000000025475
2015-10-20 19:23:00,0.0,-8685.668905097471,287972.2837766677,3455790.855438127,19954.616315030245,0.997503677697452,0.9970805816707741,-0.11960000000025475
2015-10-20 19:24:00,0.0,-8520.652115138346,279042.4258613661,3460793.753664861,20034.52870028901,0.9974979064918461,0.997073246136494,-0.11620000000025474
2015-10-20 19:25:00,0.0,-8462.963636491098,267243.3979118504,3469101.9742986932,20052.143687015887,0.9976381969444683,0.9972256606340764,-0.11620000000025474
2015-10-20 19:26:00,0.0,-8688.901871621976,256400.3326012679,3480250.2584752096,19936.762989892173,0.9974900626771992,0.9970693673065253,-0.11280000000025474
2015-10-20 19:27:00,0.0,-8504.107164127738,244005.67949947884,3418647.935207329,19993.257679876286,0.9983345496205935,0.9979805337620208,-0.10940000000025474
2015-10-20 19:28:00,0.0,-8553.37839579684,228830.1880636311,3421989.3229970606,20017.490342396253,0.9985779298256006,0.9982492229026018,-0.11280000000025474
2015-10-20 19:29:00,0.0,-8652.323913883632,212275.75177226684,3403808.8673105882,19987.256039949098,0.9985946561512437,0.9982664443923741,-0.11620000000025474
2015-10-20 19:30:00,0.0,-8455.875261509857,205121.9861842884,3440718.2652837876,20016.841391002054,0.9981387316534251,0.9977676923886591,-0.11280000000025474
2015-10-20 19:31:00,0.0,-8693.023039287837,195425.8198944409,3390130.9912741636,19936.337044297346,0.9986133159291095,0.9982866459719302,-0.11280000000025474
2015-10-20 19:32:00,0.0,-8505.059541672854,194215.84783522898,3439505.4092057473,20001.692377884927,0.998176217544593,0.9978088786275472,-0.11620000000025474
2015-10-20 19:33:00,0.0,-8492.08462283725,202707.6023787684,3474718.4435364846,19987.589798346722,0.9975275469016951,0.9971080689642253,-0.11620000000025474
2015-10-20 19:34:00,0.0,-8857.547082881261,215754.7718150513,3487469.2234765757,19873.744110185038,0.997088617660904,0.9966396419579382,-0.11620000000025474
2015-10-20 19:35:00,0.0,-8506.231703337704,228959.32953254596,3521993.6054183384,19988.524527262573,0.9966271029754743,0.9961477074013203,-0.11960000000025475
2015-10-20 19:36:00,0.0,-8489.130176151408,243672.10175577865,3428486.217568009,19958.630988495348,0.9982136143132493,0.9978494515450537,-0.11960000000025475
2015-10-20 19:37:00,0.0,-8713.910754666103,244782.26139092352,3422794.7979556415,19901.06683476665,0.9980479826260664,0.9976686902678343,-0.11960000000025475
2015-10-20 19:38:00,0.0,-8520.602485010291,241881.9433161509,3429722.778152191,20010.303010503827,0.9977597289517707,0.9973534500080569,-0.11620000000025474
2015-10-20 19:39:00,0.0,-8502.519279423825,235762.89480793552,3431165.5566550866,19985.04256662102,0.9979316084055428,0.9975410876601404,-0.11620000000025474
2015-10-20 19:40:00,0.0,-8700.53562747287,223252.55847348625,3480084.1421282003,19907.4878206848,0.9977949160776006,0.9973998635233355,-0.11280000000025474
2015-10-20 19:41:00,0.0,-8698.905853784476,212681.13237051567,3424228.088849024,19964.867399249153,0.9982220474260638,0.997858081640201,-0.11280000000025474
2015-10-20 19:42:00,0.0,-8480.143877501072,213034.4702010632,3445549.423315757,20009.956257792273,0.9983202342115495,0.9979673933336142,-0.11280000000025474
2015-10-20 19:43:00,0.0,-8690.14820388427,210593.63611318415,3421383.833330094,19936.099940031338,0.9982716803539637,0.9979127783293656,-0.11280000000025474
2015-10-20 19:44:00,0.0,-8659.409357205703,212212.54454086206,3480104.4866324123,19977.958915284475,0.9973911947029692,0.9969617809157014,-0.10940000000025474
2015-10-20 19:45:00,0.0,-8470.439388813633,218658.34144631142,3449593.629052053,20058.141861635646,0.997274874545646,0.9968306284736073,-0.11280000000025474
2015-10-20 19:46:00,0.0,-8774.461021287487,227879.60945131714,3486986.7067477554,19957.20061311403,0.9969674215530491,0.9965076182101371,-0.11280000000025474
2015-10-20 19:47:00,0.0,-8517.594156962696,242805.7021051151,3434714.993782383,20054.530767651293,0.9977449305444032,0.9973370646851106,-0.11280000000025474
2015-10-20 19:48:00,0.0,-8496.9128391808,245078.28546002533,3438483.6539613013,20092.359237230256,0.9977200740707826,0.9973097519806768,-0.11620000000025474
2015-10-20 19:49:00,0.0,-8701.333444703341,239310.91679202273,3357123.038648648,20001.44989976846,0.9985043427250995,0.9981611548569643,-0.11620000000025474
2015-10-20 19:50:00,0.0,-8503.94261612935,229703.83168504536,3367326.4436140563,20109.083286713292,0.9982846095974938,0.9979176617931099,-0.11620000000025474
2015-10-20 19:51:00,0.0,-8513.862860797191,216688.24962207675,3431084.7675656406,20062.265078693774,0.9978955726711891,0.9975002487905155,-0.11620000000025474
2015-10-20 19:52:00,0.0,-8742.969301544272,204429.65221509844,3408936.0534187257,19987.208743313284,0.9981730372660419,0.9978021933263694,-0.11280000000025474
2015-10-20 19:53:00,0.0,-8534.547836019694,205301.48793756682,3411900.0364802782,20017.053902371103,0.9977012105065894,0.9972875493035872,-0.10940000000025474
2015-10-20 19:54:00,0.0,-8541.80491984923,210814.38299509053,3394543.2015642356,20048.529749195557,0.997971275614268,0.997578647285051,-0.11280000000025474
2015-10-20 19:55:00,0.0,-8881.463472423417,214703.3321408393,3403181.059125324,19904.0979510038,0.9980729071691017,0.9976935581590924,-0.10940000000025474
2015-10-20 19:56:00,0.0,-8504.062962324984,220428.98616304222,3417654.5900630094,20038.84721195191,0.9979214633873801,0.997527315731963,-0.10940000000025474
2015-10-20 19:57:00,0.0,-8500.442965300546,218467.29319102957,3422548.179798373,20050.052627585894,0.9977404753794014,0.9973308106328015,-0.11280000000025474
2015-10-20 19:58:00,0.0,-8740.571737452829,218529.22213516108,3338377.239446479,19972.864924140136,0.9988152173287927,0.9985062147252476,-0.11620000000025474
2015-10-20 19:59:00,0.0,-8426.191026287564,209126.87826605674,3383245.4825095767,20071.757454161198,0.9987293731008475,0.998412942087769,-0.11620000000025474
2015-10-20 20:00:00,0.0,-8416.257211615179,202858.91870496955,3376305.378867944,20100.157949034772,0.9986636964461749,0.9983385055379952,-0.11960000000025475
2015-10-20 20:01:00,0.0,-8446.629255318032,192201.2447532775,3381672.093612211,20063.042851078782,0.9983765043038474,0.9980214128426457,-0.11960000000025475
2015-10-20 20:02:00,0.0,-8426.859130506338,187837.74176491168,3377388.4366335142,20092.672660602704,0.9983045404373552,0.9979410712926701,-0.11960000000025475
2015-10-20 20:03:00,0.0,-8475.883024358838,183011.68020679115,3353732.529608534,20059.29537127113,0.9983977404490997,0.9980418179116786,-0.11960000000025475
